hour,events
2002-10-05T22,23
2002-10-05T23,65
2002-10-06T00,42
2002-10-06T01,387
2002-10-06T02,211
2002-10-06T03,25
2002-10-06T04,82
2002-10-06T05,55
2002-10-06T06,79
2002-10-06T07,6
2002-10-06T08,7
2002-10-06T09,1
2002-10-06T10,18
2002-10-06T11,3
2002-10-06T12,23
2002-10-06T13,8
2002-10-06T14,116
2002-10-06T15,23
2002-10-06T16,12
2002-10-06T17,20
2002-10-06T18,49
2002-10-06T19,27
2002-10-06T20,7
2002-10-06T21,30
2002-10-06T22,42
2002-10-06T23,102
2002-10-07T00,58
2002-10-07T01,216
2002-10-07T02,287
2002-10-07T03,114
2002-10-07T04,125
2002-10-07T05,36
2002-10-07T06,38
2002-10-07T07,5
2002-10-07T08,8
2002-10-07T09,6
2002-10-07T10,4
2002-10-07T11,10
2002-10-07T12,7
2002-10-07T13,103
2002-10-07T14,96
2002-10-07T15,181
2002-10-07T16,242
2002-10-07T17,111
2002-10-07T18,59
2002-10-07T19,28
2002-10-07T20,45
2002-10-07T21,144
2002-10-07T22,392
2002-10-07T23,103
2002-10-08T00,62
2002-10-08T01,8
2002-10-08T02,54
2002-10-08T03,143
2002-10-08T04,108
2002-10-08T05,31
2002-10-08T06,63
2002-10-08T07,26
2002-10-08T08,3
2002-10-08T10,15
2002-10-08T11,96
2002-10-08T12,94
2002-10-08T13,16
2002-10-08T14,69
2002-10-08T15,51
2002-10-08T16,17
2002-10-08T17,7
2002-10-08T18,108
2002-10-08T19,254
2002-10-08T20,115
2002-10-08T21,90
2002-10-08T22,182
2002-10-08T23,162
2002-10-09T00,132
2002-10-09T01,62
2002-10-09T02,97
2002-10-09T03,107
2002-10-09T04,165
2002-10-09T05,59
2002-10-09T06,2
2002-10-09T07,12
2002-10-09T08,58
2002-10-09T09,3
2002-10-09T10,4
2002-10-09T11,50
2002-10-09T12,4
2002-10-09T13,16
2002-10-09T14,11
2002-10-09T15,3
2002-10-09T16,107
2002-10-09T17,90
2002-10-09T18,86
2002-10-09T19,30
2002-10-09T20,100
2002-10-09T21,38
2002-10-09T22,45
2002-10-09T23,44
2002-10-10T00,34
2002-10-10T01,64
2002-10-10T02,216
2002-10-10T03,52
2002-10-10T04,344
2002-10-10T05,17
2002-10-10T06,16
2002-10-10T07,3
2002-10-10T09,40
2002-10-10T10,16
2002-10-10T11,4
2002-10-10T12,49
2002-10-10T13,6
2002-10-10T14,138
2002-10-10T15,256
2002-10-10T16,79
2002-10-10T17,119
2002-10-10T18,99
2002-10-10T19,183
2002-10-10T20,48
2002-10-10T21,180
2002-10-10T22,106
2002-10-10T23,16
2002-10-11T00,44
2002-10-11T01,43
2002-10-11T02,107
2002-10-11T03,25
2002-10-11T04,2
2002-10-11T05,35
2002-10-11T07,4
2002-10-11T08,3
2002-10-11T09,23
2002-10-11T10,3
2002-10-11T11,75
2002-10-11T12,5
2002-10-11T13,99
2002-10-11T14,36
2002-10-11T15,75
2002-10-11T16,366
2002-10-11T17,263
2002-10-11T18,168
2002-10-11T19,9
2002-10-11T20,86
2002-10-11T21,71
2002-10-11T22,33
2002-10-11T23,26
2002-10-12T00,26
2002-10-12T01,36
2002-10-12T02,22
2002-10-12T03,63
2002-10-12T04,6
2002-10-12T05,17
2002-10-12T06,3
2002-10-12T07,1
2002-10-12T08,1
2002-10-12T09,2
2002-10-12T11,7
2002-10-12T12,1
2002-10-12T13,23
2002-10-12T14,76
2002-10-12T15,34
2002-10-12T16,29
2002-10-12T17,13
2002-10-12T18,44
2002-10-12T19,69
2002-10-12T20,38
2002-10-12T21,57
2002-10-12T22,59
2002-10-12T23,53
2002-10-13T00,75
2002-10-13T01,169
2002-10-13T02,22
2002-10-13T03,64
2002-10-13T04,159
2002-10-13T05,242
2002-10-13T06,61
2002-10-13T07,3
2002-10-13T08,1
2002-10-13T09,8
2002-10-13T10,5
2002-10-13T11,6
2002-10-13T12,5
2002-10-13T13,6
2002-10-13T14,39
2002-10-13T15,11
2002-10-13T16,7
2002-10-13T17,6
2002-10-13T18,43
2002-10-13T19,47
2002-10-13T20,38
2002-10-13T21,165
2002-10-13T22,363
2002-10-13T23,152
2002-10-14T00,173
2002-10-14T01,182
2002-10-14T02,317
2002-10-14T03,101
2002-10-14T04,27
2002-10-14T05,284
2002-10-14T06,12
2002-10-14T08,21
2002-10-14T09,104
2002-10-14T10,18
2002-10-14T11,5
2002-10-14T12,33
2002-10-14T13,38
2002-10-14T14,68
2002-10-14T15,44
2002-10-14T16,99
2002-10-14T17,118
2002-10-14T18,249
2002-10-14T19,79
2002-10-14T20,46
2002-10-14T21,208
2002-10-14T22,21
2002-10-14T23,13
2002-10-15T00,41
2002-10-15T01,214
2002-10-15T02,14
2002-10-15T03,215
2002-10-15T04,325
2002-10-15T05,39
2002-10-15T06,26
2002-10-15T07,1
2002-10-15T08,26
2002-10-15T09,3
2002-10-15T10,1
2002-10-15T11,113
2002-10-15T12,46
2002-10-15T13,89
2002-10-15T14,6
2002-10-15T15,34
2002-10-15T16,169
2002-10-15T17,207
2002-10-15T18,179
2002-10-15T19,74
2002-10-15T20,5
2002-10-15T21,72
2002-10-15T22,178
2002-10-15T23,38
2002-10-16T00,330
2002-10-16T01,68
2002-10-16T02,313
2002-10-16T03,189
2002-10-16T04,274
2002-10-16T05,210
2002-10-16T06,11
2002-10-16T07,12
2002-10-16T09,105
2002-10-16T10,17
2002-10-16T11,2
2002-10-16T12,32
2002-10-16T13,41
2002-10-16T14,4
2002-10-16T15,2
2002-10-16T16,13
2002-10-16T17,21
2002-10-16T18,6
2002-10-16T19,3
2002-10-16T20,52
2002-10-16T21,102
2002-10-16T22,5
2002-10-16T23,8
2002-10-17T00,16
2002-10-17T01,18
2002-10-17T02,18
2002-10-17T03,37
2002-10-17T04,137
2002-10-17T05,11
2002-10-17T06,21
2002-10-17T07,1
2002-10-17T08,44
2002-10-17T10,1
2002-10-17T11,38
2002-10-17T12,219
2002-10-17T13,5
2002-10-17T14,32
2002-10-17T15,10
2002-10-17T16,43
2002-10-17T17,12
2002-10-17T18,191
2002-10-17T19,270
2002-10-17T20,543
2002-10-17T21,190
2002-10-17T22,9
2002-10-17T23,74
2002-10-18T00,19
2002-10-18T01,415
2002-10-18T02,179
2002-10-18T03,162
2002-10-18T04,261
2002-10-18T05,8
2002-10-18T06,225
2002-10-18T07,157
2002-10-18T08,7
2002-10-18T10,25
2002-10-18T11,76
2002-10-18T12,195
2002-10-18T13,176
2002-10-18T14,65
2002-10-18T15,194
2002-10-18T16,250
2002-10-18T17,27
2002-10-18T18,156
2002-10-18T19,16
2002-10-18T20,157
2002-10-18T21,185
2002-10-18T22,107
2002-10-18T23,3
2002-10-19T00,57
2002-10-19T01,106
2002-10-19T02,461
2002-10-19T03,141
2002-10-19T04,84
2002-10-19T05,5
2002-10-19T06,10
2002-10-19T07,15
2002-10-19T08,1
2002-10-19T09,4
2002-10-19T10,15
2002-10-19T11,53
2002-10-19T12,6
2002-10-19T13,84
2002-10-19T14,52
2002-10-19T15,246
2002-10-19T16,159
2002-10-19T17,32
2002-10-19T18,15
2002-10-19T19,139
2002-10-19T20,153
2002-10-19T21,159
2002-10-19T22,168
2002-10-19T23,89
2002-10-20T00,34
2002-10-20T01,40
2002-10-20T02,16
2002-10-20T03,29
2002-10-20T04,113
2002-10-20T05,161
2002-10-20T06,13
2002-10-20T07,61
2002-10-20T08,8
2002-10-20T09,4
2002-10-20T10,3
2002-10-20T11,6
2002-10-20T13,52
2002-10-20T14,101
2002-10-20T15,92
2002-10-20T16,103
2002-10-20T17,113
2002-10-20T18,69
2002-10-20T19,92
2002-10-20T20,96
2002-10-20T21,33
2002-10-20T22,89
2002-10-20T23,103
2002-10-21T00,94
2002-10-21T01,127
2002-10-21T02,18
2002-10-21T03,22
2002-10-21T04,155
2002-10-21T05,463
2002-10-21T06,352
2002-10-21T07,29
2002-10-21T08,5
2002-10-21T09,5
2002-10-21T10,1
2002-10-21T11,13
2002-10-21T12,21
2002-10-21T13,40
2002-10-21T14,95
2002-10-21T15,188
2002-10-21T16,137
2002-10-21T17,44
2002-10-21T18,81
2002-10-21T19,262
2002-10-21T20,356
2002-10-21T21,58
2002-10-21T22,57
2002-10-21T23,119
2002-10-22T00,380
2002-10-22T01,330
2002-10-22T02,36
2002-10-22T03,26
2002-10-22T04,174
2002-10-22T05,19
2002-10-22T06,77
2002-10-22T07,124
2002-10-22T08,411
2002-10-22T09,10
2002-10-22T10,1
2002-10-22T11,56
2002-10-22T12,28
2002-10-22T13,39
2002-10-22T14,269
2002-10-22T15,174
2002-10-22T16,131
2002-10-22T17,38
2002-10-22T18,31
2002-10-22T19,13
2002-10-22T20,26
2002-10-22T21,186
2002-10-22T22,123
2002-10-22T23,54
2002-10-23T00,9
2002-10-23T01,28
2002-10-23T02,35
2002-10-23T03,108
2002-10-23T04,42
2002-10-23T05,37
2002-10-23T06,52
2002-10-23T07,20
2002-10-23T08,25
2002-10-23T10,2
2002-10-23T11,2
2002-10-23T12,23
2002-10-23T13,51
2002-10-23T14,179
2002-10-23T15,45
2002-10-23T16,5
2002-10-23T17,110
2002-10-23T18,43
2002-10-23T19,12
2002-10-23T20,34
2002-10-23T21,29
2002-10-23T22,164
2002-10-23T23,372
2002-10-24T00,70
2002-10-24T01,151
2002-10-24T02,213
2002-10-24T03,111
2002-10-24T04,53
2002-10-24T05,4
2002-10-24T06,84
2002-10-24T07,66
2002-10-24T08,78
2002-10-24T09,29
2002-10-24T10,19
2002-10-24T11,1
2002-10-24T12,1
2002-10-24T13,30
2002-10-24T14,6
2002-10-24T15,36
2002-10-24T16,78
2002-10-24T17,13
2002-10-24T18,262
2002-10-24T19,74
2002-10-24T20,100
2002-10-24T21,38
2002-10-24T22,47
2002-10-24T23,5
2002-10-25T00,97
2002-10-25T01,33
2002-10-25T02,52
2002-10-25T03,23
2002-10-25T04,33
2002-10-25T05,38
2002-10-25T06,9
2002-10-25T07,51
2002-10-25T08,54
2002-10-25T09,5
2002-10-25T10,3
2002-10-25T11,2
2002-10-25T12,168
2002-10-25T13,90
2002-10-25T14,3
2002-10-25T15,8
2002-10-25T16,32
2002-10-25T17,201
2002-10-25T18,385
2002-10-25T19,285
2002-10-25T20,204
2002-10-25T21,192
2002-10-25T22,48
2002-10-25T23,30
2002-10-26T00,18
2002-10-26T01,103
2002-10-26T02,202
2002-10-26T03,268
2002-10-26T04,57
2002-10-26T05,114
2002-10-26T06,1
2002-10-26T07,7
2002-10-26T08,3
2002-10-26T09,18
2002-10-26T10,59
2002-10-26T11,1
2002-10-26T12,6
2002-10-26T13,37
2002-10-26T14,23
2002-10-26T15,17
2002-10-26T16,31
2002-10-26T17,109
2002-10-26T18,28
2002-10-26T19,135
2002-10-26T20,71
2002-10-26T21,24
2002-10-26T22,109
2002-10-26T23,190
2002-10-27T00,248
2002-10-27T01,332
2002-10-27T02,72
2002-10-27T03,52
2002-10-27T04,163
2002-10-27T05,35
2002-10-27T07,39
2002-10-27T08,4
2002-10-27T10,15
2002-10-27T11,61
2002-10-27T12,52
2002-10-27T13,44
2002-10-27T14,64
2002-10-27T15,9
2002-10-27T16,247
2002-10-27T17,87
2002-10-27T18,58
2002-10-27T19,166
2002-10-27T20,114
2002-10-27T21,146
2002-10-27T22,197
2002-10-27T23,174
2002-10-28T00,112
2002-10-28T01,114
2002-10-28T02,130
2002-10-28T03,290
2002-10-28T04,76
2002-10-28T05,67
2002-10-28T06,51
2002-10-28T07,41
2002-10-28T08,7
2002-10-28T09,15
2002-10-28T10,3
2002-10-28T11,6
2002-10-28T12,26
2002-10-28T13,105
2002-10-28T14,118
2002-10-28T15,98
2002-10-28T16,222
2002-10-28T17,87
2002-10-28T18,196
2002-10-28T19,321
2002-10-28T20,153
2002-10-28T21,278
2002-10-28T22,49
2002-10-28T23,37
2002-10-29T00,178
2002-10-29T01,87
2002-10-29T02,127
2002-10-29T03,177
2002-10-29T04,289
2002-10-29T05,100
2002-10-29T06,149
2002-10-29T07,121
2002-10-29T08,8
2002-10-29T10,73
2002-10-29T11,10
2002-10-29T12,3
2002-10-29T13,48
2002-10-29T14,18
2002-10-29T15,21
2002-10-29T16,80
2002-10-29T17,78
2002-10-29T18,104
2002-10-29T19,53
2002-10-29T20,151
2002-10-29T21,90
2002-10-29T22,358
2002-10-29T23,5
2002-10-30T00,96
2002-10-30T01,23
2002-10-30T02,216
2002-10-30T03,24
2002-10-30T04,3
2002-10-30T05,48
2002-10-30T06,63
2002-10-30T07,36
2002-10-30T08,15
2002-10-30T11,4
2002-10-30T12,3
2002-10-30T13,89
2002-10-30T14,48
2002-10-30T15,16
2002-10-30T16,12
2002-10-30T17,16
2002-10-30T18,8
2002-10-30T19,28
2002-10-30T20,26
2002-10-30T21,170
2002-10-30T22,264
2002-10-30T23,8
2002-10-31T00,71
2002-10-31T01,35
2002-10-31T02,14
2002-10-31T03,22
2002-10-31T04,55
2002-10-31T05,25
2002-10-31T06,21
2002-10-31T07,15
2002-10-31T09,4
2002-10-31T10,25
2002-10-31T11,1
2002-10-31T12,8
2002-10-31T13,1
2002-10-31T14,89
2002-10-31T15,43
2002-10-31T16,65
2002-10-31T17,20
2002-10-31T18,240
2002-10-31T19,121
2002-10-31T20,80
2002-10-31T21,134
2002-10-31T22,62
2002-10-31T23,25
2002-11-01T00,8
2002-11-01T01,33
2002-11-01T02,54
2002-11-01T03,132
2002-11-01T04,69
2002-11-01T05,10
2002-11-01T06,23
2002-11-01T07,1
2002-11-01T08,5
2002-11-01T09,2
2002-11-01T10,7
2002-11-01T11,1
2002-11-01T12,20
2002-11-01T13,98
2002-11-01T14,14
2002-11-01T15,32
2002-11-01T16,83
2002-11-01T17,113
2002-11-01T18,51
2002-11-01T19,31
2002-11-01T20,101
2002-11-01T21,302
2002-11-01T22,281
2002-11-01T23,265
2002-11-02T00,177
2002-11-02T01,376
2002-11-02T02,128
2002-11-02T03,83
2002-11-02T04,16
2002-11-02T05,91
2002-11-02T06,6
2002-11-02T07,40
2002-11-02T08,68
2002-11-02T09,1
2002-11-02T10,20
2002-11-02T11,11
2002-11-02T12,4
2002-11-02T13,7
2002-11-02T14,12
2002-11-02T15,46
2002-11-02T16,57
2002-11-02T17,162
2002-11-02T18,100
2002-11-02T19,85
2002-11-02T20,179
2002-11-02T21,104
2002-11-02T22,12
2002-11-02T23,226
2002-11-03T00,65
2002-11-03T01,161
2002-11-03T02,65
2002-11-03T03,198
2002-11-03T04,363
2002-11-03T05,136
2002-11-03T06,21
2002-11-03T07,213
2002-11-03T08,143
2002-11-03T09,60
2002-11-03T10,7
2002-11-03T11,5
2002-11-03T12,1
2002-11-03T13,11
2002-11-03T14,109
2002-11-03T15,59
2002-11-03T16,76
2002-11-03T17,164
2002-11-03T18,394
2002-11-03T19,380
2002-11-03T20,151
2002-11-03T21,88
2002-11-03T22,46
2002-11-03T23,50
2002-11-04T00,17
2002-11-04T01,52
2002-11-04T02,67
2002-11-04T03,201
2002-11-04T04,148
2002-11-04T05,71
2002-11-04T06,106
2002-11-04T07,33
2002-11-04T08,3
2002-11-04T09,10
2002-11-04T10,3
2002-11-04T11,6
2002-11-04T12,10
2002-11-04T13,9
2002-11-04T14,39
2002-11-04T15,19
2002-11-04T16,69
2002-11-04T17,109
2002-11-04T18,38
2002-11-04T19,40
2002-11-04T20,182
2002-11-04T21,256
2002-11-04T22,463
2002-11-04T23,121
2002-11-05T00,72
2002-11-05T01,32
2002-11-05T02,6
2002-11-05T03,92
2002-11-05T04,96
2002-11-05T05,74
2002-11-05T06,44
2002-11-05T07,28
2002-11-05T08,7
2002-11-05T09,4
2002-11-05T10,81
2002-11-05T11,55
2002-11-05T12,1
2002-11-05T13,12
2002-11-05T14,104
2002-11-05T15,35
2002-11-05T16,199
2002-11-05T17,152
2002-11-05T18,3
2002-11-05T19,47
2002-11-05T20,303
2002-11-05T21,62
2002-11-05T22,71
2002-11-05T23,61
2002-11-06T00,66
2002-11-06T01,7
2002-11-06T02,3
2002-11-06T03,4
2002-11-06T04,18
2002-11-06T05,9
2002-11-06T06,9
2002-11-06T07,4
2002-11-06T08,1
2002-11-06T09,1
2002-11-06T10,2
2002-11-06T11,1
2002-11-06T12,5
2002-11-06T13,35
2002-11-06T14,156
2002-11-06T15,59
2002-11-06T16,94
2002-11-06T17,115
2002-11-06T18,197
2002-11-06T19,92
2002-11-06T20,334
2002-11-06T21,102
2002-11-06T22,200
2002-11-06T23,25
2002-11-07T00,140
2002-11-07T01,105
2002-11-07T02,145
2002-11-07T03,201
2002-11-07T04,127
2002-11-07T05,39
2002-11-07T06,55
2002-11-07T07,37
2002-11-07T08,13
2002-11-07T09,41
2002-11-07T10,1
2002-11-07T11,9
2002-11-07T12,4
2002-11-07T13,118
2002-11-07T14,98
2002-11-07T15,58
2002-11-07T16,30
2002-11-07T17,2
2002-11-07T18,23
2002-11-07T19,76
2002-11-07T20,232
2002-11-07T21,47
2002-11-07T22,280
2002-11-07T23,316
2002-11-08T00,104
2002-11-08T01,18
2002-11-08T02,62
2002-11-08T03,68
2002-11-08T04,92
2002-11-08T05,47
2002-11-08T06,113
2002-11-08T07,30
2002-11-08T08,1
2002-11-08T09,33
2002-11-08T10,8
2002-11-08T11,14
2002-11-08T12,4
2002-11-08T13,30
2002-11-08T14,165
2002-11-08T15,223
2002-11-08T16,99
2002-11-08T17,90
2002-11-08T18,117
2002-11-08T19,80
2002-11-08T20,83
2002-11-08T21,60
2002-11-08T22,78
2002-11-08T23,100
2002-11-09T00,114
2002-11-09T01,37
2002-11-09T02,202
2002-11-09T03,10
2002-11-09T04,214
2002-11-09T05,308
2002-11-09T06,342
2002-11-09T07,71
2002-11-09T08,40
2002-11-09T09,20
2002-11-09T10,21
2002-11-09T11,34
2002-11-09T12,209
2002-11-09T13,58
2002-11-09T14,109
2002-11-09T15,61
2002-11-09T16,45
2002-11-09T17,184
2002-11-09T18,90
2002-11-09T19,210
2002-11-09T20,100
2002-11-09T21,337
2002-11-09T22,339
2002-11-09T23,424
2002-11-10T00,470
2002-11-10T01,147
2002-11-10T02,73
2002-11-10T03,416
2002-11-10T04,183
2002-11-10T05,49
2002-11-10T06,253
2002-11-10T07,20
2002-11-10T08,61
2002-11-10T09,70
2002-11-10T10,71
2002-11-10T11,46
2002-11-10T12,65
2002-11-10T13,49
2002-11-10T14,66
2002-11-10T15,20
2002-11-10T16,30
2002-11-10T17,70
2002-11-10T18,60
2002-11-10T19,378
2002-11-10T20,63
2002-11-10T21,229
2002-11-10T22,147
2002-11-10T23,308
2002-11-11T00,261
2002-11-11T01,436
2002-11-11T02,175
2002-11-11T03,128
2002-11-11T04,142
2002-11-11T05,41
2002-11-11T06,15
2002-11-11T07,12
2002-11-11T08,27
2002-11-11T09,15
2002-11-11T10,13
2002-11-11T11,19
2002-11-11T12,3
2002-11-11T13,36
2002-11-11T14,80
2002-11-11T15,353
2002-11-11T16,291
2002-11-11T17,257
2002-11-11T18,536
2002-11-11T19,339
2002-11-11T20,395
2002-11-11T21,617
2002-11-11T22,358
2002-11-11T23,108
2002-11-12T00,45
2002-11-12T01,137
2002-11-12T02,202
2002-11-12T03,257
2002-11-12T04,188
2002-11-12T05,85
2002-11-12T06,101
2002-11-12T07,34
2002-11-12T08,18
2002-11-12T09,18
2002-11-12T10,23
2002-11-12T12,7
2002-11-12T13,44
2002-11-12T14,148
2002-11-12T15,15
2002-11-12T16,111
2002-11-12T17,99
2002-11-12T18,199
2002-11-12T19,53
2002-11-12T20,59
2002-11-12T21,214
2002-11-12T22,206
2002-11-12T23,195
2002-11-13T00,189
2002-11-13T01,276
2002-11-13T02,201
2002-11-13T03,42
2002-11-13T04,28
2002-11-13T05,232
2002-11-13T06,251
2002-11-13T07,33
2002-11-13T09,1
2002-11-13T10,3
2002-11-13T11,76
2002-11-13T12,39
2002-11-13T13,120
2002-11-13T14,179
2002-11-13T15,251
2002-11-13T16,117
2002-11-13T17,40
2002-11-13T18,62
2002-11-13T19,242
2002-11-13T20,214
2002-11-13T21,115
2002-11-13T22,161
2002-11-13T23,116
2002-11-14T00,62
2002-11-14T01,138
2002-11-14T02,115
2002-11-14T03,1
2002-11-14T04,91
2002-11-14T05,87
2002-11-14T06,194
2002-11-14T07,91
2002-11-14T08,42
2002-11-14T09,2
2002-11-14T10,2
2002-11-14T12,50
2002-11-14T13,150
2002-11-14T14,153
2002-11-14T15,84
2002-11-14T16,281
2002-11-14T17,266
2002-11-14T18,78
2002-11-14T19,56
2002-11-14T20,168
2002-11-14T21,92
2002-11-14T22,36
2002-11-14T23,14
2002-11-15T00,73
2002-11-15T01,41
2002-11-15T02,34
2002-11-15T03,223
2002-11-15T04,137
2002-11-15T05,196
2002-11-15T06,415
2002-11-15T07,198
2002-11-15T08,296
2002-11-15T09,412
2002-11-15T10,208
2002-11-15T11,1
2002-11-15T12,2
2002-11-15T13,25
2002-11-15T14,30
2002-11-15T15,184
2002-11-15T16,153
2002-11-15T17,157
2002-11-15T18,335
2002-11-15T19,447
2002-11-15T20,144
2002-11-15T21,38
2002-11-15T22,60
2002-11-15T23,15
2002-11-16T00,148
2002-11-16T01,262
2002-11-16T02,126
2002-11-16T03,296
2002-11-16T04,44
2002-11-16T05,156
2002-11-16T06,287
2002-11-16T07,140
2002-11-16T08,55
2002-11-16T09,10
2002-11-16T10,19
2002-11-16T13,93
2002-11-16T14,23
2002-11-16T15,84
2002-11-16T16,28
2002-11-16T17,55
2002-11-16T18,30
2002-11-16T19,39
2002-11-16T20,85
2002-11-16T21,50
2002-11-16T22,34
2002-11-16T23,57
2002-11-17T00,60
2002-11-17T01,58
2002-11-17T02,13
2002-11-17T03,44
2002-11-17T04,8
2002-11-17T05,184
2002-11-17T06,89
2002-11-17T07,44
2002-11-17T08,25
2002-11-17T09,15
2002-11-17T10,3
2002-11-17T11,44
2002-11-17T13,45
2002-11-17T14,8
2002-11-17T15,97
2002-11-17T16,86
2002-11-17T17,58
2002-11-17T18,50
2002-11-17T19,12
2002-11-17T20,56
2002-11-17T21,53
2002-11-17T22,54
2002-11-17T23,31
2002-11-18T00,4
2002-11-18T01,88
2002-11-18T02,156
2002-11-18T03,414
2002-11-18T04,200
2002-11-18T05,9
2002-11-18T06,79
2002-11-18T07,66
2002-11-18T08,40
2002-11-18T09,257
2002-11-18T10,46
2002-11-18T11,35
2002-11-18T12,85
2002-11-18T13,24
2002-11-18T14,77
2002-11-18T15,195
2002-11-18T16,32
2002-11-18T17,95
2002-11-18T18,211
2002-11-18T19,16
2002-11-18T20,31
2002-11-18T21,23
2002-11-18T22,106
2002-11-18T23,34
2002-11-19T00,40
2002-11-19T02,95
2002-11-19T03,164
2002-11-19T04,128
2002-11-19T05,267
2002-11-19T06,112
2002-11-19T07,70
2002-11-19T08,96
2002-11-19T09,49
2002-11-19T10,4
2002-11-19T12,3
2002-11-19T13,5
2002-11-19T14,76
2002-11-19T15,207
2002-11-19T16,137
2002-11-19T17,21
2002-11-19T18,15
2002-11-19T19,20
2002-11-19T20,90
2002-11-19T21,260
2002-11-19T22,91
2002-11-19T23,68
2002-11-20T00,237
2002-11-20T01,222
2002-11-20T02,53
2002-11-20T03,64
2002-11-20T04,34
2002-11-20T05,171
2002-11-20T06,33
2002-11-20T07,10
2002-11-20T08,2
2002-11-20T09,5
2002-11-20T10,1
2002-11-20T11,16
2002-11-20T12,3
2002-11-20T13,84
2002-11-20T14,121
2002-11-20T15,68
2002-11-20T16,410
2002-11-20T17,294
2002-11-20T18,201
2002-11-20T19,293
2002-11-20T20,549
2002-11-20T21,324
2002-11-20T22,355
2002-11-20T23,116
2002-11-21T00,1
2002-11-21T01,190
2002-11-21T02,73
2002-11-21T03,48
2002-11-21T04,92
2002-11-21T05,3
2002-11-21T06,78
2002-11-21T07,110
2002-11-21T08,181
2002-11-21T10,7
2002-11-21T11,74
2002-11-21T12,8
2002-11-21T13,50
2002-11-21T14,93
2002-11-21T15,103
2002-11-21T16,14
2002-11-21T17,132
2002-11-21T18,31
2002-11-21T19,109
2002-11-21T20,211
2002-11-21T21,135
2002-11-21T22,192
2002-11-21T23,286
2002-11-22T00,267
2002-11-22T01,218
2002-11-22T02,114
2002-11-22T03,29
2002-11-22T04,6
2002-11-22T05,8
2002-11-22T06,234
2002-11-22T07,292
2002-11-22T08,75
2002-11-22T10,125
2002-11-22T11,31
2002-11-22T12,5
2002-11-22T13,54
2002-11-22T14,46
2002-11-22T15,180
2002-11-22T16,19
2002-11-22T17,5
2002-11-22T18,49
2002-11-22T19,199
2002-11-22T20,170
2002-11-22T21,45
2002-11-22T22,59
2002-11-22T23,55
2002-11-23T00,13
2002-11-23T01,66
2002-11-23T02,8
2002-11-23T03,50
2002-11-23T04,137
2002-11-23T05,34
2002-11-23T06,5
2002-11-23T07,8
2002-11-23T08,30
2002-11-23T09,1
2002-11-23T10,1
2002-11-23T11,8
2002-11-23T12,29
2002-11-23T13,52
2002-11-23T14,38
2002-11-23T15,10
2002-11-23T16,128
2002-11-23T17,22
2002-11-23T18,56
2002-11-23T19,56
2002-11-23T20,25
2002-11-23T21,20
2002-11-23T22,31
2002-11-23T23,99
2002-11-24T00,29
2002-11-24T01,107
2002-11-24T02,134
2002-11-24T03,208
2002-11-24T04,93
2002-11-24T05,18
2002-11-24T06,24
2002-11-24T07,72
2002-11-24T08,63
2002-11-24T09,18
2002-11-24T10,5
2002-11-24T11,69
2002-11-24T12,137
2002-11-24T13,61
2002-11-24T14,82
2002-11-24T15,58
2002-11-24T16,144
2002-11-24T17,9
2002-11-24T18,49
2002-11-24T19,239
2002-11-24T20,173
2002-11-24T21,163
2002-11-24T22,60
2002-11-24T23,92
2002-11-25T00,7
2002-11-25T01,24
2002-11-25T02,71
2002-11-25T03,86
2002-11-25T04,86
2002-11-25T05,29
2002-11-25T06,10
2002-11-25T07,10
2002-11-25T08,11
2002-11-25T09,159
2002-11-25T10,45
2002-11-25T11,33
2002-11-25T12,5
2002-11-25T13,13
2002-11-25T14,15
2002-11-25T15,28
2002-11-25T16,30
2002-11-25T17,113
2002-11-25T18,89
2002-11-25T19,135
2002-11-25T20,108
2002-11-25T21,135
2002-11-25T22,9
2002-11-25T23,53
2002-11-26T00,36
2002-11-26T01,108
2002-11-26T02,38
2002-11-26T03,46
2002-11-26T04,25
2002-11-26T05,30
2002-11-26T06,12
2002-11-26T07,4
2002-11-26T08,1
2002-11-26T09,1
2002-11-26T11,1
2002-11-26T12,2
2002-11-26T13,3
2002-11-26T14,5
2002-11-26T15,27
2002-11-26T16,39
2002-11-26T17,59
2002-11-26T18,134
2002-11-26T19,218
2002-11-26T20,144
2002-11-26T21,215
2002-11-26T22,166
2002-11-26T23,58
2002-11-27T00,34
2002-11-27T01,122
2002-11-27T02,6
2002-11-27T03,5
2002-11-27T04,154
2002-11-27T05,231
2002-11-27T06,32
2002-11-27T08,16
2002-11-27T09,1
2002-11-27T10,48
2002-11-27T11,12
2002-11-27T12,41
2002-11-27T13,45
2002-11-27T14,6
2002-11-27T15,50
2002-11-27T16,120
2002-11-27T17,469
2002-11-27T18,187
2002-11-27T19,71
2002-11-27T20,196
2002-11-27T21,135
2002-11-27T22,162
2002-11-27T23,32
2002-11-28T00,76
2002-11-28T01,127
2002-11-28T02,74
2002-11-28T03,49
2002-11-28T04,43
2002-11-28T05,46
2002-11-28T06,27
2002-11-28T07,13
2002-11-28T08,17
2002-11-28T09,3
2002-11-28T10,14
2002-11-28T11,1
2002-11-28T12,2
2002-11-28T13,5
2002-11-28T14,20
2002-11-28T15,101
2002-11-28T16,76
2002-11-28T17,37
2002-11-28T18,19
2002-11-28T19,11
2002-11-28T20,45
2002-11-28T21,7
2002-11-28T22,27
2002-11-28T23,61
2002-11-29T00,19
2002-11-29T01,20
